,,,,,,,,,,,,,,,,,,
,NO,ZONE KODE,KOTA / KABUPATEN,DESTINATION KODE,TUJUAN,TARIF OA,TONASE,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Semen Bulk : GROBOGAN - RUTE JAWA TIMUR,,,,,,,,,,,,,,,,,
,,0403, MALANG,040304,Wagir, Rp 214.500 , Rp 65.000 ,,,,,,,,,,,
,,0403, MALANG,040311,Pakis, Rp 196.482 , Rp 60.000 ,,,,,,,,,,,
,,0403, MALANG,040313,Singosari, Rp 202.800 , Rp 60.000 ,,,,,,,,,,,
,,0403, MALANG,040325,Bululawang, Rp 199.680 , Rp 60.000 ,,,,,,,,,,,
,,0410, MOJOKERTO,041018,Gondang, Rp 151.086 , Rp 45.000 ,,,,,,,,,,,
,,0410, MOJOKERTO,041007,Mojosari, Rp 165.360 , Rp 50.000 ,,,,,,,,,,,
,,0410, MOJOKERTO,041006,Bangsai, Rp 151.866 , Rp 45.000 ,,,,,,,,,,,
,,0410, MOJOKERTO,041005,Trowulan, Rp 150.866 , Rp 45.000 ,,,,,,,,,,,
,,0410, MOJOKERTO,041019,Jaitrejo, Rp 171.600 , Rp 50.000 ,,,,,,,,,,,
,,0478, PROBOLINGGO KOTA,047802,Mayangan, Rp 209.118 , Rp 60.000 ,,,,,,,,,,,
,,0405, PROBOLINGGO,040608,Paiton, Rp 218.634 , Rp 65.000 ,,,,,,,,,,,
,,0480, SITUBONDO,048014,Banyuputih, Rp 261.378 , Rp 80.000 ,,,,,,,,,,,
,,0401, SURABAYA,040131,Karangpilang, Rp 159.822 , Rp 50.000 ,,,,,,,,,,,
,,0401, SIURABAYA,040114,Benowo, Rp 155.454 , Rp 45.000 ,,,,,,,,,,,
,,0401, SURABAYA,040112,Sambikerep, Rp 159.822 , Rp 50.000 ,,,,,,,,,,,
,,0419, GRESIK,041901,Gresik, Rp 151.086 , Rp 45.000 ,,,,,,,,,,,
,,0419, GRESIK,041901,Manyar, Rp 151.086 , Rp 45.000 ,,,,,,,,,,,
,,0420, PONOROGO,042010,Jetis, Rp 169.677 , Rp 50.000 ,,,,,,,,,,,
,,0461, SIDOARJO,046109,Taman/krian, Rp 163.410 , Rp 50.000 ,,,,,,,,,,,
,,0473, BLITAR KABUPATEN,047307,Kademangan, Rp 179.400 , Rp 55.000 ,,,,,,,,,,,
,,0418, LAMONGAN,041827,Pucuk, Rp 133.224 , Rp 40.000 ,,,,,,,,,,,
,,0404, KEDIRI,040418,Papar, Rp 173.672 , Rp 50.000 ,,,,,,,,,,,
,,0404, KEDIRI,040401,Kandat, Rp 177.799 , Rp 50.000 ,,,,,,,,,,,
,,0409, PASURUAN,040903,Gempol, Rp 187.400 , Rp 45.000 ,,,,,,,,,,,
,,0467, JOMBANG,046709,Kabuh, Rp 148.200 , Rp 45.000 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,NO,ZONE KODE,KOTA / KABUPATEN,DESTINATION KODE,TUJUAN,TARIF OA,TONASE,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
