NO,TANGGAL,PENGELUARAN,,NOMINAL,ADMIN,KETERANGAN ,Keterangan Perbaikan ,,,,,,,
,"Kamis, 29 Mei 2025",Jasa Cek Truk Mas Mawan & Pak Rokhim Mekanik,,"1.000.000,00",,Tuban,,,,,,,,
,"Jum'at, 30 Mei 2025",DP Truk Mas Ari,,"20.000.000,00","2.500,00",,,,,,,,,
,"Sabtu, 31 Mei 2025",Selang Gajah ,5 meter,"3.050.000,00",,Tuban ,,,,,,,,
,"Kamis, 5 Juni 2025",GPS Idtrack Truk 1 Tahun,1 Tahun,"850.000,00","2.500,00",,,,,,,,,
,"Kamis, 5 Juni 2025",Jasa Mas Mawan Pengambilan Truk ,,"500.000,00",,Plumpung Tuban,,,,,,,,
,,Jasa Sopir Truk,,"300.000,00",,Plumpung Tuban,,,,,,,,
,,Solar Truk Pertama,,"350.000,00",,,,,,,,,,
,"Kamis, 5 Juni 2025",Pembayaran Truk 1,,"200.000.000,00","30.000,00",RTGS,,,,,,,,
,"Kamis, 5 Juni 2025",Pembayaran Truk 2,,"200.000.000,00","2.500,00",,,,,,,,,
,"Kamis, 5 Juni 2025",Aki Tukar Tambah ,2 pcs,"1.760.000,00",,Plumpung Tuban,,,,,,,,
,"Kamis, 5 Juni 2025",Pembayaran Truk 3,,"5.000.000,00","2.500,00",,,,,,,,,
,,,,,,,,,,BBM Perjalanan,,"228.752,00",,Bekasi
,,,,,,,,,"Minggu, 1 Juni 2025",Hotel Front One,,"800.000,00",,Gresik
,,,,,,,,,"Senin, 2 Juni 2025",BBM Perjalanan,,"301.784,00",,Gresik
,"Jumat, 6 Juni 2025",Ban Duraturn 1100 R20,2 set,"9.042.960,00",,Shopee,4.521.480/set lengkap ban dalam dan marset ,,"Rabu, 4 Juni 2025",BBM Perjalanan,,"593.700,00",,Batang
,,Ban Depan Benang Bridgestone 1100 R20,1 pcs,"4.253.480,00",,Shopee,,,,,,"1.924.236,00",,
,,Ban Dalam+Marset 1100 R20 ,1 pcs,"437.920,00",,Shopee,Untuk Bridgestone ,,,,,,,
,"Jumat, 6 Juni 2025",Ganti Valve + Tukar Tambah + Pasang,4 pcs,"1.000.000,00",,Pak Yanto Pereng Tuban,,,,,,,,
,,Pembersihan Dalam Tangki (Arslet),4 lubang,"400.000,00",,,,,,,,,,
,,Karet Koneksi Pipa Selang Gajah ,1 pcs,"100.000,00",,,,,,,,,,
,,Jasa Pasang Selang Gajah,,"150.000,00",,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Sabtu, 7 Juni 2025",Cuci Truk,,"100.000,00",,Tuban,,,,,,,,
,"Sabtu, 7 Juni 2025",Perpanjangan STNK + Jasa Biro,,"10.890.000,00",,Tuban,,,,,,,,
,"Minggu, 8 Juni 2025",Uang Awal Mas Yono,,"500.000,00",,Tuban,,,,,,,,
,"Minggu, 8 Juni 2025",Las Kenteng Bemper Belakang ,,"150.000,00",,Pak Nur Tuban,,,,,,,,
,,Las Pengaman Belakang Kanan Kiri,,"150.000,00",,Pak Nur Tuban,,,,,,,,
,,Las Pindah Pangkon Selang Gajah,,"100.000,00",,Pak Nur Tuban,,,,,,,,
,,Las Pembuatan Pengaman Aki + Gantungan Knalpot,,"100.000,00",,Pak Nur Tuban,,,,,,,,
,"Minggu, 8 Juni 2025",Jasa Mas Mawan Urus STNK + Ambil Dongkrak + Uang Tip Sopir Truk,,"800.000,00",,Tuban,,,,,,,,
,,,,,,,,,,,,,,
,"Senin, 9 Juni 2025",Seal Rem Belakang,2 pcs,"40.000,00",,Mbah Datuk Tuban ,,,,,,,,
,,Dop Double+Karet Kabin,2 pcs,"50.000,00",,Mbah Datuk Tuban ,,,,,,,,
,,Jasa Service Pintu+ Kaca Bongkar Pasang + Seal Rem Kampas Macet,,"300.000,00",,Mbah Datuk Tuban ,,,,,,,,
,,Oli Visco Kipas,12 botol,"120.000,00",,Mbah Datuk Tuban ,,,,,,,,
,,Jasa Bongkar Pasang Kipas Radiator,,"100.000,00",,Mbah Datuk Tuban ,,,,,,,,
,,"Copot Topi Kabin, Pasang Lampu Rotari",,"100.000,00",,Mbah Datuk Tuban ,,,,,,,,
,,,,,,,,,,,,,,
,"Senin, 9 Juni 2025",Jassa Bongkar Pasang Ban Baru,3 pcs,"105.000,00",,Tuban,,,,,,,,
,,Kontrol Angin,,"15.000,00",,Tuban,Semua,,,,,,,
,,Jasa Ganti Baut Roda,1 pcs,"40.000,00",,Tuban,Patah baut roda,,,,,,,
,,Baut Roda Belakang,2 pcs ,"110.000,00",,Tuban,,,,,,,,
,"Senin, 9 Juni 2025",Jasa Tossa Bawa 3 Ban Truk Baru,,"200.000,00",,Tuban,,,,,,,,
,"Selasa, 10 Juni 2025",Kabel,,"15.000,00",,Tuban,Lampu jauh dan sein 2 nyala sendiri ,,,,,,,
,,Contact Cleaner,,"20.000,00",,Tuban,,,,,,,,
,,Storing+Perbaikan,,"200.000,00",,Tuban,,,,,,,,
,"Selasa, 10 Juni 2025",Tuker Tambah Ring Velg,1 pcs,"70.000,00",,Tuban ,Ring velg pecah (lupa nota),,,,,,,
,"Rabu, 11 Juni 2025",Pembayaran ke Truk ke 4,,"10.000.000,00","2.500,00",BNI,,,,,,,,
,"Jumat, 13 Juni 2025",Service Radiator+Bongkar pasang+Air Aqua,,"450.000,00",,Tuban,Temperatur Naik,,,,,,,
,"Minggu, 15 Juni 2025",Pembayaran ke Truk ke 5,,"15.000.000,00",,BNI,,,,,,,,
,,,,,,,,,,,,,,
,"Selasa, 17 Juni 2025",Filter Udara,1 pcs,"275.000,00",,Jaya Subur,,,,,,,,
,,Ongkir,,"50.000,00",,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Selasa, 17 Juni 2025",Air Cuci Truk,,"70.000,00",,Tuban,,,,,,,,
,,HCL,,"17.000,00",,Tuban,,,,,,,,
,,Jasa Cuci HCL,,"100.000,00",,Tuban,,,,,,,,
,"Rabu, 18 Juni 2025",Ban Bekas 1100 R20+Pasang (Kanan Luar Tengah),1 pcs,"500.000,00",,Tuban,Ban kena batu sobek,,,,,,,
,"Kamis, 19 Juni 2025",Beli Velg Second ,1 pcs,"800.000,00",,Tuban,,,,,,,,
,"Kamis, 19 Juni 2025",Ngevet,,"50.000,00",,Mbah Datuk Tuban,Putaran fan masih enteng,,,,,,,
,,Oli Visco Kipas,6 botol,"60.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Jasa perbaikan ,,"50.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Las & Repair Knalpot,,"200.000,00",,Pak Nor Tuban,,,,,,,,
,,Pembuatan Engkolan Ban Cadangan,,"150.000,00",,Pak Nor Tuban,Knalpot patah,,,,,,,
,"Sabtu, 21 Juni 2025",Lampu Samping Bumper Kanan Kiri,14 pcs,"187.000,00",,Shopee Mas Yono,,,,,,,,
,,Relay Kaki 4,1 pcs,"45.000,00",,RSP Electric Tuban,,,,,,,,
,,Socket Relay,1 pcs,"20.000,00",,RSP Electric Tuban,,,,,,,,
,,Rumah Sikring,14 pcs,"10.000,00",,RSP Electric Tuban,,,,,,,,
,,Skun Kabel,1 pcs,"15.000,00",,RSP Electric Tuban,,,,,,,,
,,Kabel ,35 meter,"160.000,00",,RSP Electric Tuban,,,,,,,,
,,Jasa pasang,,"150.000,00",,RSP Electric Tuban,,,,,,,,
,"Sabtu, 21 Juni 2025",Lampu Mundur Bulat,1 pcs,"57.440,00",,Shopee,Persiapan masuk SBI,,,,,,,
,,Alarm Mundur Truk+Socket Fuse,1 pcs,"46.250,00",,Shopee,Persiapan masuk SBI,,,,,,,
,"Senin, 23 Juni 2025",Lampu LED Sein Belakang,4 pcs,"28.000,00",,RSP Electric Tuban,Sein belakang mati,,,,,,,
,,"Kabel, Sikring, Baut",7 meter,"35.000,00",,RSP Electric Tuban,,,,,,,,
,,Jasa pasang,,"50.000,00",,RSP Electric Tuban,,,,,,,,
,"Selasa, 24 Juni 2025",Uang Sepatu Safety+Transport,1 Pasang,"363.000,00",,Tuban Kota,Persiapan masuk SBI,,,,,,,
,"Selasa, 24 Juni 2025",Kaca Film+Tulisan Stiker+Pasang,,"450.000,00",,Tambakboyo,,,,,,,,
,"Selasa, 24 Juni 2025",APAR 3KG,,"181.400,00",,Shopee ,Persiapan masuk SBI,,,,,,,
,,Kacamata+Rompi Safety,,"66.582,00",,Shopee,Persiapan masuk SBI,,,,,,,
,,Segitiga Pengaman+Stiker Merah 25m+Stiker Kuning 25m,,"136.536,00",,Shopee,Persiapan masuk SBI,,,,,,,
,,Masker KN95+Kota P3K,,"162.130,00",,,,,,,,,,
,"Minggu, 29 Juni 2025",Coolant Hikari,4 galon,"140.000,00",,Jaya Subur,,,,,,,,
,,Spakbor Depan Hino RH,1 pcs,"400.000,00",,Jaya Subur,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Senin, 30 Juni 2025",Park Head Hino,1 pcs,"1.400.000,00",,Pak Yanto Jenu,,,,,,,,
,,Jasa Ganti Park Head,,"2.500.000,00",,,,,,,,,,
,,Park Turbo ,1 pcs,"45.000,00",,,,,,,,,,
