NO,TANGGAL ORDER,TANGGAL BONGKAR,KOTA,TUJUAN BONGKAR, TARIF , TONASE MUAT , TONASE BONGKAR , OMSET , PAJAK 1% , POT LJU 2% , UJ GRB 5% , SANGU (31 TON) , PROFIT , TOLERANSI 0.3% , SELISIH MUAT , KLAIM , KLAIM DRIVER ,PEMBAYARAN, INSENTIF ,DIBAYARKAN,PEMBAYARAN,TABUNGAN,PEMBAYARAN,BANTUAN UANG MAKAN,PEMBAYARAN,MAS MAWAN (CV. SATRIA PERWIRA)/DO,PEMBAYARAN,CATATAN,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Sabtu, 27 September 2025","Minggu, 28 September 2025",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,,"30,56","  3.561.890,24 ","  35.618,90 ",,,"1.900.000,00","1.526.271,34",-,-,-,-,-,"35.000,00","0,00",Sudah dibayar 17 Mar 26,-,,"0,00",-,"100.000,00",Sudah dibayar 28 Okt 25 8rit,"30,86 jadi 30,56 selisih 300kg. (Tanggal 25 150.000 pengurus SILOG)",,
2,"Rabu, 1 Oktober 2025","Jumat, 3 Oktober 2025",UNGARAN,KH BETON (UNGARAN),190.080,,"31,84","  6.052.147,20 ","  60.521,47 ",,,"2.800.000,00","3.091.625,73",-,-,-,-,-,"50.000,00","0,00",Sudah dibayar 17 Mar 26,-,,"0,00",-,"100.000,00",Sudah dibayar 28 Okt 25 11rit,"32,36 jadi 31,84 selisih 520kg",,
3,"Selasa, 7 Oktober 2025","Rabu, 8 Oktober 2025",UNGARAN,KH BETON (UNGARAN),190.080,,"31,88","  6.059.750,40 ","  60.597,50 ",,,"2.800.000,00","3.049.152,90",-,-,-,-,-,"50.000,00","50.000,00",Sudah dibayar 17 Mar 26,-,,"0,00",-,"100.000,00",Sudah dibayar 28 Okt 25 11rit,"32,36 jadi 31,84 selisih 520kg",,
4,"Kamis, 9 Oktober 2025","Sabtu, 11 Oktober 2025",UNGARAN,KH BETON (UNGARAN),190.080,,"33,35","  6.339.168,00 ","  63.391,68 ",,,"2.800.000,00","3.275.776,32",-,-,-,-,-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,-,,"0,00",-,"100.000,00",Sudah dibayar 28 Okt 25 11rit,"33,22 jadi 33,35 lebih 13kg",,
5,"Selasa, 14 Oktober 2025","Rabu, 15 Oktober 2025",UNGARAN,KH BETON (UNGARAN),190.080,,"34,28","  6.515.942,40 ","  65.159,42 ",,,"2.800.000,00","3.400.782,98",-,-,-,-,-,"50.000,00","150.000,00",Sudah dibayar 17 Mar 26,-,,"0,00",-,"100.000,00",Sudah dibayar 28 Okt 25 11rit,"34,36 jadi 34,28 selisih 80kg",,
6,"Minggu, 19 Oktober 2025","Selasa, 21 Oktober 2025",SEMARANG,INAX INTERNATIONAL (SEMARANG),116.554,,"30,36","  3.538.579,44 ","  35.385,79 ",,,"1.900.000,00","1.503.193,65",-,-,-,-,-,"35.000,00","0,00",Sudah dibayar 17 Mar 26,-,,"0,00",-,"100.000,00",Sudah dibayar 28 Okt 25 11rit,"31,04 jadi 30,36 selisih 680kg",,
7,"Rabu, 22 Oktober 2025","Sabtu, 25 Oktober 2025",KARANGANYAR BI22,DUTA SARANA PERKASA (KARANGANYAR),"164.989,4",,"31,67","  5.225.214,30 ","  52.252,14 ",,,"2.650.000,00","2.372.962,16",-,-,-,-,-,"50.000,00","0,00",Sudah dibayar 17 Mar 26,-,,"50.000,00",Sudah dibayar 27 Okt 25,"100.000,00",Sudah dibayar 28 Okt 25 11rit,Pembayaran Kasbon mas Rul ke 1 100.000,,
8,"Senin, 27 Oktober 2025","Selasa, 28 Oktober 2025",UNGARAN,KH BETON (UNGARAN),190.080,,"33,38","  6.344.870,40 ","  63.448,70 ",,,"2.800.000,00","3.281.421,70",-,-,-,-,-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,-,,"0,00",-,"100.000,00",Sudah dibayar 28 Okt 25 11rit,"28 Okt 25 Mas Mawan 800.000, 33,46 jadi 33,37 selisih 80kg, Pembayaran Kasbon mas Rul ke 2 100.000",,
9,"Rabu, 29 Oktober 2025","Kamis, 30 Oktober 2025",DEMAK BF01,NUSANTARA BUILDING INDUSTRI (DEMAK KARANG TENGAH),"110.246,4",,"29,26","  3.225.809,66 ","  32.258,10 ",,,"1.750.000,00","1.343.551,57",-,-,-,-,-,"50.000,00","0,00",Sudah dibayar 17 Mar 26,-,,"0,00",-,"100.000,00",Sudah dibayar 5 Nov 25 3rit,"29,30 jadi 29,26 selisih 40kg",,
