NO,TANGGAL ORDER,TANGGAL BONGKAR,KOTA,TUJUAN BONGKAR, TARIF , TONASE MUAT , TONASE BONGKAR  , OMSET , PAJAK 1% ,POT 2% LJU,5% UJ GRB, SANGU (31 TON) , PROFIT , TOLERANSI 0.3% , SELISIH MUAT , KLAIM , KLAIM DRIVER ,PEMBAYARAN, INSENTIF ,DIBAYARKAN,PEMBAYARAN,BANTUAN UANG MAKAN,PEMBAYARAN,TABUNGAN,PEMBAYARAN,MAS MAWAN (CV. SATRIA PERWIRA)/DO,PEMBAYARAN,MBAH MAN (SILOG)/DO,PEMBAYARAN,CATATAN,TOLERANSI MUATAN 0.3%,KLAIM 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Selasa, 10 Juni 2025",,SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,-,"32,40","  3.776.349,60 ",,,,"1.879.000,00","1.762.349,60",-,-,-,-,-,"35.000,00","35.000,00",Sudah dibayar 10 Juni 25,-,-,-,-,"100.000,00",Sudah dibayar 25 JunI 25 5rit,-, - ,10 Jun 25 Mas Yono Insentif 35.000 (1 rit),,
2,"Jumat, 13 Juni 2025",,SEMARANG,PRY TOL SEMARANG (SAYUNG),116.554,-,"35,08","  4.088.714,32 ",,,,"1.879.000,00","1.969.714,32",-,-,-,-,-,"35.000,00","140.000,00",Sudah dibayar 17 Agu 25,-,-,-,-,"100.000,00",Sudah dibayar 25 JunI 25 5rit,-, - ,,,
3,"Senin, 16 Juni 2025",,GRESIK,PBR KUMALA KIRAN (WRINGIN ANOM),76.309,-,"34,28","  2.615.855,38 ",,,,"1.450.000,00","990.855,38",-,-,-,-,-,"25.000,00","75.000,00",Sudah dibayar 17 Agu 25,-,-,-,-,"100.000,00",Sudah dibayar 25 JunI 25 5rit,-, - ,,,
4,"Sabtu, 21 Juni 2025",,SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,-,"39,04","  4.550.268,16 ",,,,"1.879.000,00","2.291.268,16",-,-,-,-,-,"35.000,00","280.000,00",Sudah dibayar 17 Agu 25,-,-,-,-,"100.000,00",Sudah dibayar 25 JunI 25 5rit,-, - ,,,
5,"Rabu, 25 Juni 2025",,SEMARANG,CONCRETE POHON CEMARA (KALIGAWE),116.554,-,"30,30","  3.531.586,20 ",,,,"1.879.000,00","1.552.586,20",-,-,-,-,-,"0,00","0,00",Sudah dibayar 17 Agu 25,-,-,-,-,"100.000,00",Sudah dibayar 25 JunI 25 5rit,"50.000,00",Sudah dibayar 3 Jul 25,"30.44, selisih 150 kg. 25 Jun 25 Mas Mawan 500.000 (5rit)",,
6,"Selasa, 1 Juli 2025",,SEMARANG,KINI JAYA INDAH (PLAMONGAN),116.554,-,"35,38","  4.123.680,52 ",,,,"1.879.000,00","2.004.680,52",-,-,-,-,-,"35.000,00","140.000,00",Sudah dibayar 17 Agu 25,-,-,-,-,"100.000,00",Sudah dibayar 10 Jul 25 3 rit,"50.000,00",Sudah dibayar 3 Jul 25,3 Jul 25 Mbah Man 100.000 (2rit),,
7,"Jumat, 4 Juli 2025",,JOMBANG,SINAR ABADI CITRA SARANA (BAKALAN),103.334,-,"35,38","  3.655.971,07 ",,,,"1.600.000,00","1.785.971,07",-,-,-,-,-,"30.000,00","120.000,00",Sudah dibayar 17 Agu 25,-,-,-,-,"100.000,00",Sudah dibayar 10 Jul 25 3 rit,"50.000,00",Sudah dibayar 13 Jul 25,,,
8,"Senin, 7 Juli 2025",,JOMBANG,TRIJAYA ADYMIX (NGORO),103.334,-,"34,40","  3.554.703,36 ",,,,"1.600.000,00","1.714.703,36",-,-,-,-,-,"30.000,00","90.000,00",Sudah dibayar 17 Agu 25,-,-,-,-,"100.000,00",Sudah dibayar 10 Jul 25 3 rit,"50.000,00",Sudah dibayar 13 Jul 25,,,
9,"Kamis, 10 Juli 2025",,SEMARANG BF09,PRATAMA WIDYA (TERBOYO),"133.056,0",-,"31,96","  4.252.469,76 ",,,,"1.950.000,00","2.102.469,76",-,-,-,-,-,"50.000,00","50.000,00",Sudah dibayar 17 Agu 25,-,-,-,-,"100.000,00",Sudah dibayar 15 Jul 25 3rit,"50.000,00",Sudah dibayar 13 Jul 25,10 Jul 25 Mas Mawan 300.000 (3rit),,
10,"Minggu, 13 Juli 2025",,SEMARANG,SATWIGA MUSTIKA NIAGA (METESEH),116.554,-,"30,68","  3.575.876,72 ",,,,"1.879.000,00","1.596.876,72",-,-,-,-,-,"0,00","0,00",Sudah dibayar 17 Agu 25,-,-,-,-,"100.000,00",Sudah dibayar 15 Jul 25 3rit,"50.000,00",Sudah dibayar 18 Jul 25,"Selisih 80 kg, 30.78 jadi 30.68. 13 Jul 25 Mbah Man 150.000 (3rit), 15 Jul 25 Mas Mawan 300.000 (3rit)",,
11,"Selasa, 15 Juli 2025",,SEMARANG BF09,PRATAMA WIDYA (TERBOYO),"133.056,0",-,"34,26","  4.558.498,56 ",,,,"1.950.000,00","2.308.498,56",-,-,-,-,-,"50.000,00","150.000,00",Sudah dibayar 17 Agu 25,-,-,-,-,"100.000,00",Sudah dibayar 15 Jul 25 3rit,"50.000,00",Sudah dibayar 18 Jul 25,,,
12,"Minggu, 20 Juli 2025",,SEMARANG BF09,PRATAMA WIDYA (TERBOYO),"133.056,0",-,"33,90","  4.510.598,40 ",,,,"1.950.000,00","2.260.598,40",-,-,-,-,-,"50.000,00","150.000,00",Sudah dibayar 17 Agu 25,-,-,-,-,"100.000,00",Sudah dibayar 31 Jul 25 2rit,"50.000,00",Sudah dibayar 18 Jul 25,18 Jul 25 Mbah Man 150.000 (3rit),,
13,"Rabu, 23 Juli 2025","Kamis, 24 Juli 2025",SEMARANG BF09,PRATAMA WIDYA (TERBOYO),"133.056,0",-,"32,50","  4.324.320,00 ",,,,"1.950.000,00","2.174.320,00",-,-,-,-,-,"50.000,00","50.000,00",Sudah dibayar 17 Agu 25,-,-,-,-,"100.000,00",Sudah dibayar 31 Jul 25 2rit,"50.000,00",Sudah dibayar 25 Jul 25,25 Jul 25 Mbah Man 50.000 (1rit),,
14,"Jumat, 25 Juli 2025","Minggu, 27 Juli 2025",SEMARANG BF09,PRATAMA WIDYA (TERBOYO),"133.056,0",-,"34,42","  4.579.787,52 ",,,,"1.950.000,00","2.279.787,52",-,-,-,-,-,"50.000,00","150.000,00",Sudah dibayar 17 Agu 25,"50.000,00",Sudah dibayar 29 Jul 25,-,-,"100.000,00",Sudah dibayar 9 Agu 25 5rit,"50.000,00",Sudah dibayar 28 Jul 25,28 Jul 25 Mbah Man 50.000 (1rit),,
15,"Selasa, 29 Juli 2025","Kamis, 31 Juli 2025",KARANGANYAR BI22,DUTA SARANA PERKASA (KARANGANYAR),"164.989,4",-,"32,78","  5.408.352,53 ",,,,"2.650.000,00","2.558.352,53",-,-,-,-,-,"50.000,00","50.000,00",Sudah dibayar 17 Agu 25,"0,00",-,-,-,"100.000,00",Sudah dibayar 9 Agu 25 5rit,"50.000,00",Sudah dibayar 3 Agu 25,3 Agu 25 Mbah Man 100.000 (2rit),,
16,"Sabtu, 2 Agustus 2025","Senin, 4 Agustus 2025",GRESIK,PBR KUMALA KIRAN (WRINGIN ANOM),76.309,-,"32,58","  2.486.130,93 ",,,,"1.450.000,00","786.130,93",-,-,-,-,-,"25.000,00","25.000,00",Sudah dibayar 17 Agu 25,"75.000,00",Sudah dibayar 5 Agu 25,-,-,"100.000,00",Sudah dibayar 9 Agu 25 5rit,"50.000,00",Sudah dibayar 3 Agu 25,31 Jul 25 Mas Mawan 200.000 (2rit),,
17,"Selasa, 5 Agustus 2025","Rabu, 6 Agustus 2025",JOMBANG,TRIJAYA ADYMIX (NGORO),103.334,-,"34,04","  3.517.502,98 ",,,,"1.600.000,00","1.677.502,98",-,-,-,-,-,"30.000,00","90.000,00",Sudah dibayar 17 Agu 25,"0,00",-,-,-,"100.000,00",Sudah dibayar 9 Agu 25 5rit,"50.000,00",Sudah dibayar 9 Agu 25 2rit,,,
