NO.,MOVEMENT,MATERIAL GROUP,SALES DISTRICT,City Code,City Desc,"Jarak
(Km)",OA ,TONASE,,,,,,
,,,,,,,SATRIA PERWIRA,,JUMLAH,SANGU ,PROFIT, TAMBAHAN ,,
1,DOMESTIK,CURAH,BANJARNEGARA,BC35,PATIKRAJA,470,"  247.473,60 ",31,"  7.671.681,60 ","  3.835.840,80 ","  3.835.840,80 ",  50.000 ,,
2,DOMESTIK,CURAH,BANJARNEGARA,BD18,BANJARNEGARA,520,"  269.420,80 ",31,"  8.352.044,80 ","  4.176.022,40 ","  4.176.022,40 ",  50.000 ,,
3,DOMESTIK,CURAH,BANTUL,CA32,BANTUL,330,"  177.848,00 ",31,"  5.513.288,00 ","  2.756.644,00 ","  2.756.644,00 ",  50.000 ,,
4,DOMESTIK,CURAH,BANTUL,CA14,PIYUNGAN,320,"  181.632,00 ",31,"  5.630.592,00 ","  2.815.296,00 ","  2.815.296,00 ",  50.000 ,,
5,DOMESTIK,CURAH,BANTUL,CA18,SEDAYU - YOGASARI,330,"  186.172,80 ",31,"  5.771.356,80 ","  2.885.678,40 ","  2.885.678,40 ",  50.000 ,,
6,DOMESTIK,CURAH,BANYUMAS,BC44,BANYUMAS,470,"  247.473,60 ",31,"  7.671.681,60 ","  3.835.840,80 ","  3.835.840,80 ",  50.000 ,,
7,DOMESTIK,CURAH,BANYUMAS,BC32,KARANGLEWAS,310,"  177.091,20 ",31,"  5.489.827,20 ","  2.744.913,60 ","  2.744.913,60 ",  50.000 ,,
8,DOMESTIK,CURAH,BANYUMAS,BC34,CILONGOK,440,"  234.608,00 ",31,"  7.272.848,00 ","  3.636.424,00 ","  3.636.424,00 ",  50.000 ,,
9,DOMESTIK,CURAH,BANYUMAS,BC38,PURBALINGGA,490,"  256.555,20 ",31,"  7.953.211,20 ","  3.976.605,60 ","  3.976.605,60 ",  50.000 ,,
10,DOMESTIK,CURAH,BANYUMAS,BC34,CILONGOK,440,"  234.608,00 ",31,"  7.272.848,00 ","  3.636.424,00 ","  3.636.424,00 ",  50.000 ,,
11,DOMESTIK,CURAH,BANYUWANGI,DJ24,KABAT,440,"  236.878,40 ",31,"  7.343.230,40 ","  3.671.615,20 ","  3.671.615,20 ",  50.000 ,,
12,DOMESTIK,CURAH,BANYUWANGI,DJ25,SINGOJURUH,450,"  241.419,20 ",31,"  7.483.995,20 ","  3.741.997,60 ","  3.741.997,60 ",  50.000 ,,
13,DOMESTIK,CURAH,BATANG,BB26,TULIS,310,"  177.091,20 ",31,"  5.489.827,20 ","  2.744.913,60 ","  2.744.913,60 ",  50.000 ,,
14,DOMESTIK,CURAH,BLITAR,DE06,WLINGI,320,"  179.361,60 ",31,"  5.560.209,60 ","  2.780.104,80 ","  2.780.104,80 ",  50.000 ,,
15,DOMESTIK,CURAH,BLORA,BJ11,NGAWEN,140,"  91.194,40 ",31,"  2.827.026,40 ","  1.639.675,31 ","  1.187.351,09 ",  30.000 ,,
16,DOMESTIK,CURAH,BLORA,BJ12,KUNDURAN,140,"  91.194,40 ",31,"  2.827.026,40 ","  1.413.513,20 ","  1.413.513,20 ",  30.000 ,,
17,DOMESTIK,CURAH,BOGOR,AC01,CIBINONG BOGOR,680,"  350.398,40 ",28,"  9.811.155,20 ","  5.396.135,36 ","  4.415.019,84 ",  100.000 ,,
18,DOMESTIK,CURAH,BOGOR,2E32,GUNUNG PUTRI,670,"  345.857,60 ",31,"  10.721.585,60 ","  6.432.951,36 ","  4.288.634,24 ",  100.000 ,,
19,DOMESTIK,CURAH,BOYOLALI,BI33,TERAS,300,"  172.550,40 ",31,"  5.349.062,40 ","  2.674.531,20 ","  2.674.531,20 ",  50.000 ,,
