NO,KOTA,TUJUAN BONGKAR, TARIF , TONASE , JUMLAH , SANGU SUPIR , PROFIT , TAMBAHAN TONASE ,
1,REMBANG,,  43.574 ,  31 ,  1.350.794 ,  675.397 ,  675.397 ,  13.072 ,
2,BLORA,,  47.869 ,  31 ,  1.483.939 ,  741.970 ,  741.970 ,  14.361 ,
3,CEPU,,  51.163 ,  31 ,  1.586.053 ,  793.027 ,  793.027 ,  15.349 ,
4,PATI,,  49.161 ,  31 ,  1.523.991 ,  761.996 ,  761.996 ,  14.748 ,
5,KUDUS,,  58.688 ,  31 ,  1.819.328 ,  909.664 ,  909.664 ,  17.606 ,
6,PURWODADI,,  61.026 ,  31 ,  1.891.806 ,  945.903 ,  945.903 ,  18.308 ,
7,DEMAK,,  69.673 ,  31 ,  2.159.863 ,  1.079.932 ,  1.079.932 ,  20.902 ,
8,SEMARANG,,  85.387 ,  31 ,  2.646.994 ,  1.323.497 ,  1.323.497 ,  21.613 ,  72.042 
9,UNGARAN,,  80.749 ,  31 ,  2.503.219 ,  1.251.610 ,  1.251.610 ,  24.225 ,
10,SALATIGA,,  153.791 ,  31 ,  4.767.521 ,  2.600.000 ,  2.167.521 ,  39.030 ,  130.101 
11,KENDAL,,  87.592 ,  31 ,  2.715.352 ,  1.357.676 ,  1.357.676 ,  26.278 ,
12,BATANG,,  102.082 ,  32 ,  3.266.624 ,  1.633.312 ,  1.633.312 ,  30.625 ,
13,PEKALONGAN,,  108.686 ,  31 ,  3.369.266 ,  1.684.633 ,  1.684.633 ,  32.606 ,
14,PEMALANG,,  120.312 ,  31 ,  3.729.672 ,  1.864.836 ,  1.864.836 ,  36.094 ,
15,TEGAL,,  139.001 ,  31 ,  4.309.031 ,  2.154.516 ,  2.154.516 ,  41.700 ,
16,BREBES,,  148.358 ,  31 ,  4.599.098 ,  2.299.549 ,  2.299.549 ,  44.507 ,
17,SURAKARTA,,  102.822 ,  31 ,  3.187.482 ,  1.593.741 ,  1.593.741 ,  30.847 ,
18,KARANGANYAR,,  112.911 ,  31 ,  3.500.241 ,  1.750.121 ,  1.750.121 ,  33.873 ,
19,BOYOLALI,,  100.797 ,  31 ,  3.124.707 ,  1.562.354 ,  1.562.354 ,  30.239 ,
20,KLATEN,,  129.225 ,  31 ,  4.005.975 ,  2.002.988 ,  2.002.988 ,  38.768 ,
21,WONOGIRI,,  138.231 ,  31 ,  4.285.161 ,  2.142.581 ,  2.142.581 ,  41.469 ,
22,KEBUMEN,,  160.283 ,  31 ,  4.968.773 ,  2.484.387 ,  2.484.387 ,  48.085 ,
23,WONOSOBO,,  188.954 ,  31 ,  5.857.574 ,  2.928.787 ,  2.928.787 ,  56.686 ,
24,PURWOREJO,,  200.088 ,  31 ,  6.202.728 ,  3.101.364 ,  3.101.364 ,  60.026 ,
25,PURWOKERTO,,  177.418 ,  31 ,  5.499.958 ,  2.749.979 ,  2.749.979 ,  53.225 ,
26,BANYUMAS,,  181.089 ,  31 ,  5.613.759 ,  2.806.880 ,  2.806.880 ,  54.327 ,
27,MAGELANG,,  129.661 ,31,  4.019.491 ,  2.009.746 ,  2.009.746 ,  38.898 ,
28,JOGJA,,  150.306 ,  31 ,  4.659.486 ,  2.329.743 ,  2.329.743 ,  45.092 ,
29,SLEMAN,,  129.802 ,  31 ,  4.023.862 ,  2.011.931 ,  2.011.931 ,  38.941 ,
30,BANTUL,,  140.568 ,  31 ,  4.357.608 ,  2.178.804 ,  2.178.804 ,  42.170 ,
31,BATANG,,  123.005 ,  31 ,  3.813.155 ,  1.906.578 ,  1.906.578 ,  36.902 ,
