NO,KOTA,TUJUAN BONGKAR, TARIF , TONASE , JUMLAH , SANGU SUPIR , PROFIT , TAMBAHAN TONASE ,,,,,
1,REMBANG,SAFINA PL RBG / PRY JLN RIGID,  62.796 ,  31 ,  1.946.661 ,  1.012.263 ,  934.397 ,  25.000 ,,,,,
2,CEPU,RDM BBM BETON,  81.078 ,  31 ,  2.513.412 ,  1.306.974 ,  1.206.438 ,  25.000 ,,,,,
3,PATI,PT. FAJAR BETON MITRA LESTARI,  81.475 ,  31 ,  2.525.731 ,  1.313.380 ,  1.212.351 ,  25.000 ,,,,,
4,PATI,SAFINA PL PATI / PRY JLN RIGID,  81.475 ,  31 ,  2.525.731 ,  1.313.380 ,  1.212.351 ,  25.000 ,,,,,
5,JEPARA,SAFINA PL JPR / PRY PABRIK ACE,  102.540 ,  31 ,  3.178.725 ,  1.652.937 ,  1.525.788 ,  30.762 ,,,,,
6,PURWODADI,"RDM BETON BUDI MULYA, PT",  103.334 ,  31 ,  3.203.366 ,  1.665.751 ,  1.537.616 ,  31.000 ,,,,,
7,DEMAK,"MITRA GLORIA SEJAHTERA, CV",  90.624 ,  31 ,  2.809.347 ,  1.545.141 ,  1.264.206 ,  25.000 ,,,,,
8,SEMARANG,RDM PT ANANDA PRATAMA / PRY JRAGUNG,  116.554 ,  31 ,  3.613.162 ,  1.878.844 ,  1.734.318 ,  35.000 ,,,,,
9,SEMARANG,RDM BETON BUDI MULYA,  116.554 ,  31 ,  3.613.162 ,  1.878.844 ,  1.734.318 ,  35.000 ,,,,,
10,SEMARANG,"PBR BALTON KURNIA ABADI, PT",  116.554 ,  31 ,  3.613.162 ,  1.878.844 ,  1.734.318 ,  35.000 ,,,,,
11,SEMARANG,ARIES PUTRA BETON (SEMARANG),  116.554 ,  31 ,  3.613.162 ,  1.900.000 ,  1.713.162 ,  35.000 ,,,,,
12,SEMARANG,INAX INTERNATIONAL CORPORATION PT.,  130.730 ,  32 ,  4.183.360 ,  2.000.000 ,  2.183.360 ,  35.000 ,2 April 26 naik dr 19 ke 2jt khusus aries dkk,,,  116.554 ,tgl 15 Agustus OA naik
13,UNGARAN,PT. MAHIDARA ARTHA SANGKARA,  190.080 ,  31 ,  5.892.480 ,  2.710.541 ,  3.181.939 ,  50.000 ,,,,,
14,UNGARAN,APB BP BAWEN / TOL JBW SEC6,  207.525 ,  31 ,  6.433.275 ,  2.800.000 ,  3.633.275 ,  50.000 ,  190.080 ,,,,
15,SALATIGA,PBR TRI PILAR BETON MAS *160.000*,  177.561 ,  31 ,  5.504.391 ,  3.000.000 ,  2.504.391 ,  50.000 ,  166.925 ,UJ naik 3 juta,tgl 15 Agustus OA naik,,
16,BATANG,DIRGANTARA BETONINDO / PRY KITB,  141.187 ,  31 ,  4.376.800 ,  2.407.240 ,  1.969.560 ,  50.000 ,,,,,
17,BATANG,PRY BATCHING PLANT KIT BATANG,  141.187 ,  31 ,  4.376.800 ,  2.188.400 ,  2.188.400 ,  50.000 ,,,,,
18,BATANG,PRY AKSES JETTY KIT BATANG,  141.187 ,  31 ,  4.376.800 ,  2.188.400 ,  2.188.400 ,  50.000 ,,,,,
19,SRAGEN,CV. JASEM MAKMUR ABADI PL GALEH,  135.982 ,  31 ,  4.215.442 ,  2.318.493 ,  1.896.949 ,  50.000 ,  126.386 ,,,,
20,KARANGANYAR,UD. BERKAH BATU,  144.430 ,  31 ,  4.477.321 ,  2.650.000 ,  1.827.321 ,  50.000 ,,,,,
21,KARANGANYAR,NINDYA KARYA / PRY PARALYMPIC KARAN,  144.430 ,  31 ,  4.477.321 ,  2.462.526 ,  2.014.794 ,  50.000 ,,,,,
22,SUKOHARJO,TRIYAGAN HERMET PERKASA,  147.316 ,  31 ,  4.566.781 ,  2.800.000 ,  1.766.781 ,  50.000 ,,,,,
23,BOYOLALI,PBR CV MASTER BETON,  140.531 ,  31 ,  4.356.446 ,  2.265.352 ,  2.091.094 ,  50.000 ,,,,,
24,BOYOLALI,RDM KH BETON,  140.531 ,  31 ,  4.356.446 ,  2.265.352 ,  2.091.094 ,  50.000 ,,,,,
25,BOYOLALI,RDM DIRGANTARA / JOGLO PL BOYOLALI,  140.531 ,  31 ,  4.356.446 ,  2.265.352 ,  2.091.094 ,  50.000 ,,,,,
26,BOYOLALI,AK SBO BP NGARU ARU / TOL SOJO,  140.531 ,  31 ,  4.356.446 ,  2.265.352 ,  2.091.094 ,  50.000 ,,,,,
27,KLATEN,AK BP JAMBU KULON / PRY TOL JOGLO P,  145.369 ,31,  4.506.439 ,  2.703.863 ,  1.802.576 ,  50.000 ,  137.196 ,,,,
28,KLATEN,APB BP KEBONARUM / TOL SOJO,  137.196 ,  31 ,  4.253.085 ,  2.977.160 ,  1.275.926 ,  50.000 ,,,,,
29,KLATEN,AK SBO BP JAMBU KULON / TOL SOJO,  137.196 ,  31 ,  4.253.085 ,  2.211.604 ,  2.041.481 ,  50.000 ,,,,,
30,KLATEN,APB AK BP KEBONARUM KLATEN,  137.196 ,  31 ,  4.253.085 ,  2.211.604 ,  2.041.481 ,  50.000 ,,,,,
